Base,"Schools should not sell junk food on campus, but ... ",,arg0 (actor),verb1,arg1 (Object),arg2,verb2,arg0,arg1,arg2,verb3,arg0,arg1,arg2,Primary Verb,arg0 (agent),arg1 (patient) ,arg2 (beneficiary),verb5,arg0,arg1,arg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is not possible to control their eating habits off - campus .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to control their eating habits off - campus,possible,control,-,their eating habits off - campus,-,eating,their,habits,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is ok if their parents pack a lunch that contains junk food .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,it,ok,pack,their parents,a lunch that contains junk food,-,contains,a lunch,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is the children 's decision to do whatever they want after they are not in school .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to do whatever they want after they are not in school,the children 's decision,want (do),they,whatever,-,are,-,they,in school,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is the parents and the student 's choice to eat junk food as they want to .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to eat junk food as they want to,the parents and the student 's choice,eat,-,junk food,-,want,they,to,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is the parents responsibility to try to teach their children about healthy eating / lifestyle .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to try to teach their children about healthy eating / lifestyle,the parents responsibility,try,-,to teach their children about healthy eating / lifestyle,-,teach,-,about healthy eating / lifestyle,their children,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is up to the discretion of each school or the school board .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,it,up to the discretion of each school or the school board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is up to the student to bring it in their lunch .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to bring it in their lunch,up to the student,bring,the student,it,in their lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but jthere is no but,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,no but,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but junk food in moderation is acceptable if kids get enough exercise to burn off any excess calories and sugar consumption .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,junk food in moderation,acceptable,get,kids,enough exercise to burn off any excess calories and sugar consumption,-,burn,kids,any excess calories and sugar consumption,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but only if it is limited to certain items .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,-,-,limited,-,it,to certain items,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the argument is about choice and generation of money for the schools from these foods,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,the argument,about choice and generation of money for the schools from these foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there is a great deal of resistance to this because that is what kids want and it is profitable .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,a great deal of resistance to this,-,is,-,that,what kids want,want,kids,what,-,is,-,it,profitable,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there is an argument to be made that students should be allowed to make their own food choices .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,an argument to be made that students should be allowed to make their own food choices,-,be,-,-,-,made,-,an argument,-,be (should),-,-,-,allowed,-,to make their own food choices,-,make,students,their own food choices,-,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there is no proper nutrition in the junk food to help growing children .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,no proper nutrition in the junk food to help growing children,-,help,no proper nutrition in the junk food,growing children,-,growing,-,children,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but there is no way to stop students from bringing junk food from home .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,no way to stop students from bringing junk food from home,-,stop,-,students,from bringing junk food from home,bringing,students,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but ultimately it is up to parents to instill healthy beliefs in their kids,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to instill healthy beliefs in their kids,up to parents,instill,parents,healthy beliefs,in their kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but ultimately it is up to the individual student what they eat or drink .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,what they eat or drink,up to the individual student,eat,they,what,-,drink,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but ultimately it is up to the kids to decide what they want to eat , also it is how they generate money .",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to decide what they want to eat,up to the kids,decide,the kids,what they want to eat,-,want,they,to eat,-,eat,they,what,-,is,-,it,how they generate money,generate,they,money,-,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but ultimately it is up to the students to make better choices and the educators and parent to teach the children how .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to make better choices,up to the students,make,the students,better choices,-,teach,the educators and parent,how,the children,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they do anyways because ultimately it is a person 's choice to eat healthy or not .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is (do),-,it,a person 's choice to eat healthy or not,eat,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they still do because it is used as a tool to raise money .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is (do),-,-,-,used,-,it,as a tool to raise money,raise,-,money,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the parents need to to keep an eye on what their children are eating as well .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,keep (need),the parents,an eye,on what their children are eating as well,are,-,-,-,eating,their children,what,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but let it be brought in from home if they choose,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,let,Schools,it be brought in from home,-,be,-,-,-,brought,-,it,-,choose,they,-,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but let students do what they want,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,let,Schools,students do what they want,-,want (do),they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but I like the idea of health alternatives being put in the snack machines so they can still have snack throughout the day .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,like,I,the idea of health alternatives being put in the snack machines so they can still have snack throughout the day,-,being,-,-,-,put,-,health alternatives,in the snack machines,have (can),they,snack,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but if htey do , limit it to after school",auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,limit (do),Schools,it,to after school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should also limit access to junk food to students .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,limit (should),Schools,access to junk food to students,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the profit they make from it is tempting .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,they,the profit,from it,is,-,the profit they make from it,tempting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they make money selling junk food .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,they,money selling junk food,-,selling,they,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the schools make money off of it .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,the schools,money,off of it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead make healthy choices available .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,Schools,healthy choices available,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but make snack machines with more nutritious foods .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,Schools,snack machines with more nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but make the food less sugary and salty to make it healthy .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,Schools,the food less sugary and salty,-,make,Schools,it healthy,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but schools make a sizable profit by selling junk food items in vending machines .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make,schools,a sizable profit,by selling junk food items in vending machines,selling,schools,junk food items in vending machines,-,vending,-,machines,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but/ they do it anyway so they can make money,auxiliary modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (can),they,money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the schools can make some revenue for school improvements by selling junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (can),the schools,some revenue for school improvements,-,selling,the schools,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but teens can make decisions about what they eat when they are not at school .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (can),teens,decisions about what they eat,-,eat,they,what,-,are,-,they,at school,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they do because they make money off it .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (do),they,money,off it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they do to make some extra money .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (do),they,some extra money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should make healthier snacks available .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (should),they,healthier snacks available,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they should make snacks available that are more appetizing to students and more filling to the body than , say , an apple .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (should),they,"snacks available that are more appetizing to students and more filling to the body than , say , an apple",-,are,-,snacks available,"more appetizing to students and more filling to the body than , say , an apple",filling,-,to the body,-,say,-,-,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should make sure that something is available to purchase if the children need to .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (should),they,sure that something is available to purchase if the children need to,-,is,-,something,available to purchase,purchase,-,something,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should make sure the healthier options are things kids will actually enjoy .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (should),they,sure the healthier options are things kids will actually enjoy,-,are,-,the healthier options,things kids will actually enjoy,enjoy (will),kids,things,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should make sure there are healthy options for snacks to replace the junk food,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (should),they,sure there are healthy options for snacks to replace the junk food,-,are,-,healthy options for snacks to replace the junk food,-,replace,-,the junk food,healthy options,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should make an effort to teach the kids about better eating habits .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,make (should),Schools,an effort to teach the kids about better eating habits,-,teach,Schools,about better eating habits,the kids,eating,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but that does n't mean they should n't have so called "" junk "" food every once in a while .",auxiliary modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,mean (does),that,"they should n't have so called "" junk "" food every once in a while",-,have (should),they,"so called "" junk "" food",-,called,-,food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but it does n't mean they ca n't keep selling snacks and food , there are many healthy alternatives to basically every single type of food these days .",auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,mean (does),it,they ca n't keep selling snacks and food,-,ca,-,-,-,keep,they,selling snacks and food,-,selling,they,snacks and food,-,are,-,many healthy alternatives to basically every single type of food these days,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but a couple random snacks mixed in as a treat every once in awhile is alright as well .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,mixed,-,a couple random snacks,-,is,-,a couple random snacks mixed in as a treat every once in awhile,alright,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but this still needs to be encouraged off campus too .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,needs,this,to be encouraged off campus too,-,be,-,-,-,encouraged,-,this,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it needs to follow through at home with their own families .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,needs,it,to follow through at home with their own families,-,follow,it,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead offer healthier options to students for purchase .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead offer healthy alternatives,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead offer healthy snacks .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer a more nutritious alternative .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,a more nutritious alternative,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer alternative snack optoins,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,alternative snack optoins,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer different alternatives .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,different alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer healthier alternatives .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthier alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer healthy alternatives,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer healthy alternatives .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but offer healthy snacks .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but offer instead some different options , maybe they could sell healthy granola bars instead .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer,Schools,some different options,-,sell (could),they,healthy granola bars,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if they must they can offer healthy alternatives .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (can),they,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can offer nutritious foods.nutritious foods,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (can),they,nutritious foods.nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but can offer healthier options,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (can),Schools,healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but can offer healthy food choices in vending machines .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (can),Schools,healthy food choices,-,vending,-,machines,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they could offer healthy and delicious food choices that contain fruits , vegetables , healthy grains , and the like , plus information about how to make good food choices .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (could),they,"healthy and delicious food choices that contain fruits , vegetables , healthy grains , and the like , plus information about how to make good food choices",-,contain,healthy and delicious food choices,"fruits , vegetables , healthy grains , and the like",-,make,-,good food choices,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could offer healthy options in place of junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (could),they,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could offer some snack foods that are low in calories or not as salty or sugary but to be able to still give them a choice .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (could),they,some snack foods that are low in calories or not as salty or sugary,-,are,-,some snack foods,low in calories,be,-,they,able to still give them a choice,give,they,a choice,them,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could offer the option to buy snacks once a week .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (could),they,the option to buy snacks once a week,-,buy,they,snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but could offer alternative healthy foods in their place .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (could),Schools,alternative healthy foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but could offer some snacks that are but also some that are nt .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (could),Schools,some snacks that are but also some that are nt,-,are,-,some snacks,some that,are,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they may offer more choices of healthy food,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (may),they,more choices of healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they need to offer affordable healthy options in place of the junk food , not sell healthy stuff for a marked up , outrageous price .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (need),they,affordable healthy options,-,sell,they,healthy stuff,-,marked,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should definitely offer healthy snack options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,healthy snack options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer a healthy alternative .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,a healthy alternative,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer a wide variety of healthy alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,a wide variety of healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer healthier alternatives and work with health professionals to help create healthy eating initiatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,healthier alternatives,-,work,they,to help create healthy eating initiatives,-,help,they,create healthy eating initiatives,-,create,-,healthy eating initiatives,-,eating,-,-,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer healthy alternatives and encourage children to make better decisions .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,healthy alternatives,-,encourage,they,children,to make better decisions,make,children,better decisions,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer healthy alternatives that are appealing to kids .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,healthy alternatives that are appealing to kids,-,are,-,healthy alternatives,appealing to kids,appealing,healthy alternatives,to kids,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer healthy alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should offer tasty alternatives that are healthy .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),they,tasty alternatives that are healthy,-,are,-,tasty alternatives,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but instead should offer a wider variety of healthier snacks , so there is something for all students to enjoy .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,a wider variety of healthier snacks,-,is,-,something for all students to enjoy,-,enjoy,all students,something,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead should offer healthy options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but instead should offer more healthy alternatives , which taste good as well .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,"more healthy alternatives , which taste good as well",-,taste,more healthy alternatives,good,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but instead , should offer tasty and nutritious snack options .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,tasty and nutritious snack options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead offer healthier options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead offer healthy snack options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy snack options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead should offer healthy alternatives such as fruits and veggies to children .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternatives such as fruits and veggies to children,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer better choices .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,better choices,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternative snacks to purchase,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternative snacks to purchase,-,purchase,-,healthy alternative snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternative snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternative snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternatives instead .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternatives like fruit,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternatives like fruit,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternatives that taste similar to the junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternatives that taste similar to the junk food,-,taste,healthy alternatives,similar to the junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternatives to junk food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternatives to junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy alternatives to promote healthy habits .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy alternatives to promote healthy habits,-,promote,healthy alternatives,healthy habits,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
